SIN(s),SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE,CONTRACT END DATE
132-51,Unified Contract Center Enterprise (UCCE) Architect,Associates,6,Hour,$107.78,GS-35F-030CA,ASTON TECHNOLOGIES INCORPORATED,S,IT Schedule 70,Both,1,10/17/2014,10/16/2019
132-51,Data Management Specialist,Bachelors,4,Hour,$54.23,GS-35F-179BA,ATI INTERNATIONAL,S,IT Schedule 70,Both,2,2/17/2014,2/6/2019
132-51,Electrical Technician,Bachelors,6,Hour,$66.37,GS-35F-179BA,ATI INTERNATIONAL,S,IT Schedule 70,Both,2,2/17/2014,2/6/2019
132-51,Electrical/Systems Engineer,Bachelors,8,Hour,$87.43,GS-35F-179BA,ATI INTERNATIONAL,S,IT Schedule 70,Both,2,2/17/2014,2/6/2019
132-51,Information System Engineer,Bachelors,6,Hour,$121.16,GS-35F-179BA,ATI INTERNATIONAL,S,IT Schedule 70,Both,2,2/17/2014,2/6/2019
132-51,Telecommunications/Electrical/IT - Technician IV,Bachelors,4,Hour,$59.84,GS-35F-179BA,ATI INTERNATIONAL,S,IT Schedule 70,Both,2,2/17/2014,2/6/2019
132-51,Business Analyst,Bachelors,8,Hour,$69.63,GS-35F-046CA,BAYINFOTECH LLC,S,IT Schedule 70,Customer,1,10/29/2014,10/28/2019
132-51,It Security & Privacy Manager,Bachelors,8,Hour,$105.29,GS-35F-046CA,BAYINFOTECH LLC,S,IT Schedule 70,Customer,1,10/29/2014,10/28/2019
132-51,Network Engineer,Bachelors,6,Hour,$101.22,GS-35F-046CA,BAYINFOTECH LLC,S,IT Schedule 70,Customer,1,10/29/2014,10/28/2019
132-51,Program Manager,Bachelors,7,Hour,$86.15,GS-35F-046CA,BAYINFOTECH LLC,S,IT Schedule 70,Customer,1,10/29/2014,10/28/2019
132-51,Support Engineer,Bachelors,5,Hour,$71.79,GS-35F-046CA,BAYINFOTECH LLC,S,IT Schedule 70,Customer,1,10/29/2014,10/28/2019
132-51,Configuration Manager,Bachelors,5,Hour,$98.40,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Cyber Intelligence Analyst,Associates,3,Hour,$84.61,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Documentation Specialist,Associates,5,Hour,$49.08,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Engineering Specialist,Associates,1,Hour,$128.64,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Information System Security Engineer,Bachelors,5,Hour,$118.67,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Information Systems Security Officer,Bachelors,5,Hour,$118.16,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Logistics Engineer,Bachelors,5,Hour,$93.62,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Network Engineer,Bachelors,5,Hour,$114.86,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Principal Engineer,Bachelors,20,Hour,$185.72,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Program Manager,Bachelors,5,Hour,$221.17,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Senior Information System Security Engineer,Bachelors,10,Hour,$135.04,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Senior Network Engineer,Bachelors,10,Hour,$126.66,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Senior Scheduler,Bachelors,10,Hour,$141.69,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Senior Software Engineer,Bachelors,10,Hour,$150.89,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Senior System Engineer,Bachelors,10,Hour,$164.38,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Senior Systems Administrator,Bachelors,10,Hour,$104.24,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Senior Technician,Associates,10,Hour,$103.33,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Software Engineer,Bachelors,5,Hour,$144.80,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Sr. Cyber Intelligence Analyst,Associates,8,Hour,$125.25,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,System Engineer,Bachelors,5,Hour,$107.66,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Technical Writer,Bachelors,5,Hour,$60.84,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Technician,Associates,5,Hour,$76.60,GS-35F-238CA,BCT LLC,S,IT Schedule 70,Customer,1,3/12/2015,3/11/2020
132-51,Analyst,Bachelors,4,Hour,$116.29,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Developer,Bachelors,4,Hour,$119.77,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Help Desk Technician,Bachelors,2,Hour,$84.84,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Information System Security Officer (ISSO),Bachelors,5,Hour,$116.95,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,IT Engineer,Bachelors,4,Hour,$120.22,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Project Manager,Bachelors,8,Hour,$150.21,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Security Systems Specialist,Bachelors,5,Hour,$81.45,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Subject Matter Expert,Bachelors,8,Hour,$152.82,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Tech Writer,Bachelors,2,Hour,$72.69,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Trainer,Bachelors,4,Hour,$119.77,GS-35F-410CA,"BEACON CLOUD SOLUTIONS, INC.",S,IT Schedule 70,Both,1,7/7/2015,7/6/2020
132-51,Admin/Finance Manager,Bachelors,2,Hour,$89.68,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Admin/Finance Manager - Level II,Bachelors,5,Hour,$105.50,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Application Tester,Bachelors,2,Hour,$119.33,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Application Tester - Level II,Bachelors,5,Hour,$140.39,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Business Analyst,Bachelors,2,Hour,$114.03,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Business Analyst - Level II,Bachelors,5,Hour,$134.17,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Data Modeler,Bachelors,2,Hour,$104.86,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Data Modeler - Level II,Bachelors,5,Hour,$123.37,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Data Warehouse Architect,Bachelors,2,Hour,$141.05,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Data Warehouse Architect - Level II,Bachelors,5,Hour,$165.94,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Enterprise Architect,Bachelors,2,Hour,$153.05,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Enterprise Architect - Level II,Bachelors,5,Hour,$180.06,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,ETL Programmer/Architect,Bachelors,2,Hour,$133.85,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,ETL Programmer/Architect - Level II,Bachelors,5,Hour,$157.47,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,IV&V Lead,Bachelors,2,Hour,$114.03,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,IV&V Lead - Level II,Bachelors,5,Hour,$134.17,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Network Engineer,Bachelors,2,Hour,$126.05,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Network Engineer - Level II,Bachelors,5,Hour,$148.29,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Business Analyst,Bachelors,15,Hour,$185.69,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Data Warehouse Architect,Bachelors,15,Hour,$229.67,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Enterprise Architect,Bachelors,15,Hour,$249.22,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal ETL Programmer/Architect,Bachelors,15,Hour,$217.94,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal IV&V Lead,Bachelors,15,Hour,$185.69,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Network Engineer,Bachelors,15,Hour,$205.24,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Program Manager,Bachelors,15,Hour,$259.97,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Project Manager,Bachelors,15,Hour,$210.13,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Software Engineer/ Developer,Bachelors,15,Hour,$242.38,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Subject Matter Expert,Bachelors,15,Hour,$241.40,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal System Architect,Bachelors,15,Hour,$249.22,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Systems Engineer / Database or System Administrator,Bachelors,15,Hour,$210.13,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Principal Technical Lead,Bachelors,15,Hour,$219.90,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Process/Documentation Specialist,Bachelors,2,Hour,$94.63,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Process/Documentation Specialist - Level II,Bachelors,5,Hour,$111.32,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Program Manager,Bachelors,2,Hour,$159.66,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Program Manager - Level II,Bachelors,5,Hour,$187.83,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Project Manager,Bachelors,2,Hour,$129.05,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Project Manager - Level II,Bachelors,5,Hour,$151.82,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Admin/Finance Manager,Bachelors,8,Hour,$124.12,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Application Tester,Bachelors,8,Hour,$165.17,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Business Analyst,Bachelors,8,Hour,$157.84,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Data Modeler,Bachelors,8,Hour,$145.13,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Data Warehouse Architect,Bachelors,8,Hour,$195.22,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Enterprise Architect,Bachelors,8,Hour,$211.84,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior ETL Programmer/Architect,Bachelors,8,Hour,$185.25,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior IV&V Lead,Bachelors,8,Hour,$157.84,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Network Engineer,Bachelors,8,Hour,$174.45,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Process/Documentation Specialist,Bachelors,8,Hour,$130.96,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Program Manager,Bachelors,8,Hour,$220.97,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Project Manager,Bachelors,8,Hour,$178.61,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Software Engineer/ Developer,Bachelors,8,Hour,$206.02,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Subject Matter Expert,Bachelors,8,Hour,$205.19,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior System Architect,Bachelors,8,Hour,$211.84,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Systems Engineer / Database or System Administrator,Bachelors,8,Hour,$178.61,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Technical Lead,Bachelors,8,Hour,$186.91,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Senior Trainer,Bachelors,8,Hour,$153.69,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Software Engineer/ Developer,Bachelors,2,Hour,$148.85,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Software Engineer/ Developer - Level II,Bachelors,5,Hour,$175.12,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Subject Matter Expert,Bachelors,2,Hour,$148.25,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Subject Matter Expert - Level II,Bachelors,5,Hour,$174.41,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,System Architect,Bachelors,2,Hour,$153.05,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,System Architect - Level II,Bachelors,5,Hour,$180.06,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Systems Engineer / Database or System Administrator,Bachelors,2,Hour,$129.05,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Systems Engineer / Database or System Administrator - Level II,Bachelors,5,Hour,$151.82,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Technical Lead,Bachelors,2,Hour,$135.05,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Technical Lead - Level II,Bachelors,5,Hour,$158.87,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Trainer,Bachelors,2,Hour,$111.03,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Trainer - Level II,Bachelors,5,Hour,$130.63,GS-35F-362CA,BITSCOPIC INC,S,IT Schedule 70,Customer,1,6/12/2015,6/11/2020
132-51,Business Systems Analyst II,Bachelors,6,Hour,$69.82,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Computer Programmer II,Bachelors,5,Hour,$59.85,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Computer Programmer III*,Bachelors,7,Hour,$79.80,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Computer Security Specialist,Bachelors,7,Hour,$77.80,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Data Analyst III,Bachelors,6,Hour,$69.82,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Data Warehouse / Business Intelligence Specialist,Bachelors,6,Hour,$69.82,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Database Administrator,Bachelors,6,Hour,$74.81,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Net Developer,Bachelors,8,Hour,$94.76,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Program Manager,Bachelors,10,Hour,$189.52,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Project Manager,Bachelors,5,Hour,$134.66,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Systems Architect Level I,Bachelors,10,Hour,$109.72,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Systems Engineer,Bachelors,5,Hour,$69.40,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Web designer/Developer,Bachelors,5,Hour,$64.84,GS-35F-049CA,"Blended Ventures, INC.",S,IT Schedule 70,Customer,2,11/15/2014,11/14/2019
132-51,Computer Programmer 1,Bachelors,2,Hour,$66.61,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Computer Programmer 1,Bachelors,2,Hour,$67.88,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Computer Programmer 1,Bachelors,2,Hour,$69.17,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
132-51,Computer Programmer 1,Bachelors,2,Hour,$70.48,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,4,2/4/2015,2/3/2020
132-51,Computer Programmer 1,Bachelors,2,Hour,$71.82,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,5,2/4/2015,2/3/2020
132-51,Computer Programmer 2,Bachelors,6,Hour,$85.09,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Computer Programmer 2,Bachelors,6,Hour,$86.70,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Computer Programmer 2,Bachelors,6,Hour,$88.35,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
132-51,Computer Programmer 2,Bachelors,6,Hour,$90.03,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,4,2/4/2015,2/3/2020
132-51,Computer Programmer 2,Bachelors,6,Hour,$91.74,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,5,2/4/2015,2/3/2020
132-51,Computer Programmer 3,Bachelors,10,Hour,$101.99,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Computer Programmer 3,Bachelors,10,Hour,$103.93,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Computer Programmer 3,Bachelors,10,Hour,$105.90,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
132-51,Computer Programmer 3,Bachelors,10,Hour,$107.92,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,4,2/4/2015,2/3/2020
132-51,Computer Programmer 3,Bachelors,10,Hour,$109.97,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,5,2/4/2015,2/3/2020
132-51,Database Specialist 1,Bachelors,4,Hour,$71.17,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Database Specialist 1,Bachelors,4,Hour,$72.52,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Database Specialist 1,Bachelors,4,Hour,$73.90,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
132-51,Database Specialist 1,Bachelors,4,Hour,$75.30,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,4,2/4/2015,2/3/2020
132-51,Database Specialist 1,Bachelors,4,Hour,$76.73,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,5,2/4/2015,2/3/2020
132-51,Database Specialist 2,Bachelors,6,Hour,$87.19,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Database Specialist 2,Bachelors,6,Hour,$88.85,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Database Specialist 2,Bachelors,6,Hour,$90.54,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
132-51,Database Specialist 2,Bachelors,6,Hour,$92.26,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,4,2/4/2015,2/3/2020
132-51,Database Specialist 2,Bachelors,6,Hour,$94.01,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,5,2/4/2015,2/3/2020
132-51,Database Specialist 3,Bachelors,8,Hour,$102.27,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Database Specialist 3,Bachelors,8,Hour,$104.21,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Database Specialist 3,Bachelors,8,Hour,$106.19,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
132-51,Database Specialist 3,Bachelors,8,Hour,$108.21,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,4,2/4/2015,2/3/2020
132-51,Database Specialist 3,Bachelors,8,Hour,$110.27,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,5,2/4/2015,2/3/2020
132-51,Graphic Designer 1,Associates,4,Hour,$57.39,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Graphic Designer 1,Associates,4,Hour,$58.48,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Graphic Designer 1,Associates,4,Hour,$59.59,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
132-51,Graphic Designer 1,Associates,4,Hour,$60.72,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,4,2/4/2015,2/3/2020
132-51,Graphic Designer 1,Associates,4,Hour,$61.87,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,5,2/4/2015,2/3/2020
132-51,Graphic Designer 2,Associates,6,Hour,$73.60,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,1,2/4/2015,2/3/2020
132-51,Graphic Designer 2,Associates,6,Hour,$75.00,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,2,2/4/2015,2/3/2020
132-51,Graphic Designer 2,Associates,6,Hour,$76.43,GS-35F-168CA,"BLH TECHNOLOGIES, INC.",S,IT Schedule 70,Both,3,2/4/2015,2/3/2020
